Skill,Relevant_Coursework,Model_Estimated_ability,Course_Level,Course_Num,Course_IDNum
Industrial Engineering,"Engineering  213 Engineering Communication  Professional and technical communication with a focus on developing the ability to communicate complex engineering concepts to engineers as well as general audiences. Planning and composing effective verbal, written, and graphical communication. Providing constructive and professional review and critique of presentations by peers. Identifying key points and summarizing information in a concise and informative manner.  ",0.08705610080361367,2.0,213.0,ENGG 213
Mechanical Engineering,"Engineering  213 Engineering Communication  Professional and technical communication with a focus on developing the ability to communicate complex engineering concepts to engineers as well as general audiences. Planning and composing effective verbal, written, and graphical communication. Providing constructive and professional review and critique of presentations by peers. Identifying key points and summarizing information in a concise and informative manner.  ",0.07135834288597108,2.0,213.0,ENGG 213
Process and Projects Documentation,"Engineering 209 Engineering Economics  The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.  ",0.1652462369322777,2.0,209.0,ENGG 209
Test Planning and Field Operations,"Engineering 209 Engineering Economics  The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.  ",0.15867462120056153,2.0,209.0,ENGG 209
Research and Development,"Engineering 209 Engineering Economics  The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.  ",0.1279286194264889,2.0,209.0,ENGG 209
Industrial Engineering,"Engineering 209 Engineering Economics  The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.  ",0.08705610080361367,2.0,209.0,ENGG 209
Mechanical Engineering,"Engineering 209 Engineering Economics  The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.  ",0.07135834288597108,2.0,209.0,ENGG 209
Test Planning and Field Operations,"Engineering  202 Engineering Statics  Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies.  ",0.20039456424713137,2.0,202.0,ENGG 202
Design and Construction of RF,"Engineering  202 Engineering Statics  Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies.  ",0.1941411975324154,2.0,202.0,ENGG 202
Mechanical and Control Systems,"Engineering  202 Engineering Statics  Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies.  ",0.18225327368974686,2.0,202.0,ENGG 202
Industrial Engineering,"Engineering  202 Engineering Statics  Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies.  ",0.08705610080361367,2.0,202.0,ENGG 202
Mechanical Engineering,"Engineering  202 Engineering Statics  Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies.  ",0.07135834288597108,2.0,202.0,ENGG 202
Test Planning and Field Operations,"Engineering 201 Behaviour of Liquids, Gases and Solids  An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture.  ",0.20492838503718377,2.0,201.0,ENGG 201
System Characterization and Test,"Engineering 201 Behaviour of Liquids, Gases and Solids  An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture.  ",0.1812574760913849,2.0,201.0,ENGG 201
Mechanical and Control Systems,"Engineering 201 Behaviour of Liquids, Gases and Solids  An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture.  ",0.17836815643906595,2.0,201.0,ENGG 201
Industrial Engineering,"Engineering 201 Behaviour of Liquids, Gases and Solids  An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture.  ",0.08705610080361367,2.0,201.0,ENGG 201
Mechanical Engineering,"Engineering 201 Behaviour of Liquids, Gases and Solids  An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture.  ",0.07135834288597108,2.0,201.0,ENGG 201
Test Planning and Field Operations,"Engineering  200 Engineering Design, Innovation and Entrepreneurship  Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences.  ",0.1587134308934212,2.0,200.0,ENGG 200
New Product Development Environment,"Engineering  200 Engineering Design, Innovation and Entrepreneurship  Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences.  ",0.15484647886753083,2.0,200.0,ENGG 200
Research and Development,"Engineering  200 Engineering Design, Innovation and Entrepreneurship  Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences.  ",0.11603645226359369,2.0,200.0,ENGG 200
Industrial Engineering,"Engineering  200 Engineering Design, Innovation and Entrepreneurship  Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences.  ",0.08705610080361367,2.0,200.0,ENGG 200
Mechanical Engineering,"Engineering  200 Engineering Design, Innovation and Entrepreneurship  Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences.  ",0.07135834288597108,2.0,200.0,ENGG 200
Research and Development,"Computer Science 599 Special Topics in Computer Science  Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. ",0.26579622364044186,5.0,599.0,CPSC 599
Ethics/Values in Science and,"Computer Science 599 Special Topics in Computer Science  Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. ",0.2605873121976852,5.0,599.0,CPSC 599
Test Planning and Field Operations,"Computer Science 599 Special Topics in Computer Science  Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. ",0.2531807862043381,5.0,599.0,CPSC 599
Computer-Aided Design,"Computer Science 599 Special Topics in Computer Science  Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. ",0.24851816755533218,5.0,599.0,CPSC 599
Computer Science,"Computer Science 599 Special Topics in Computer Science  Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. ",0.11198294286727906,5.0,599.0,CPSC 599
Ethics/Values in Science and,Computer Science 598 Special Topics in Computer Science  New areas in Computer Science. It will be offered only as required. Before registration consult the Department of Computer Science for topics offered.  ,0.2648297881364822,5.0,598.0,CPSC 598
Computer-Aided Design,Computer Science 598 Special Topics in Computer Science  New areas in Computer Science. It will be offered only as required. Before registration consult the Department of Computer Science for topics offered.  ,0.24851816755533218,5.0,598.0,CPSC 598
Computer Science,Computer Science 598 Special Topics in Computer Science  New areas in Computer Science. It will be offered only as required. Before registration consult the Department of Computer Science for topics offered.  ,0.2377241828560829,5.0,598.0,CPSC 598
Computer-Aided Design,Computer Science 594 Software Engineering Project  A software engineering project conducted under the guidance of a faculty member.  ,0.24851816755533218,5.0,594.0,CPSC 594
Research and Development,Computer Science 594 Software Engineering Project  A software engineering project conducted under the guidance of a faculty member.  ,0.23227219650745393,5.0,594.0,CPSC 594
Computer Engineering,Computer Science 594 Software Engineering Project  A software engineering project conducted under the guidance of a faculty member.  ,0.23118390173912048,5.0,594.0,CPSC 594
Project Engineering,Computer Science 594 Software Engineering Project  A software engineering project conducted under the guidance of a faculty member.  ,0.2197332786798477,5.0,594.0,CPSC 594
Computer Science,Computer Science 594 Software Engineering Project  A software engineering project conducted under the guidance of a faculty member.  ,0.11198294286727906,5.0,594.0,CPSC 594
Process and Procedure Development,Computer Science 591 Rendering  Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading.  ,0.38531441707611086,5.0,591.0,CPSC 591
Data Collection and Analysis,Computer Science 591 Rendering  Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading.  ,0.38018459973335267,5.0,591.0,CPSC 591
System Characterization and Test,Computer Science 591 Rendering  Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading.  ,0.3619458292365074,5.0,591.0,CPSC 591
Computer-Aided Design,Computer Science 591 Rendering  Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading.  ,0.24851816755533218,5.0,591.0,CPSC 591
Computer Science,Computer Science 591 Rendering  Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading.  ,0.11198294286727906,5.0,591.0,CPSC 591
System Characterization and Test,"Computer Science 589 Modelling for Computer Graphics  Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology.  ",0.3754684173583984,5.0,589.0,CPSC 589
Computer Modeling,"Computer Science 589 Modelling for Computer Graphics  Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology.  ",0.3407200764894485,5.0,589.0,CPSC 589
Computer Simulation/Modeling,"Computer Science 589 Modelling for Computer Graphics  Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology.  ",0.33983645379543304,5.0,589.0,CPSC 589
Computer-Aided Design,"Computer Science 589 Modelling for Computer Graphics  Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology.  ",0.24851816755533218,5.0,589.0,CPSC 589
Computer Science,"Computer Science 589 Modelling for Computer Graphics  Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology.  ",0.11198294286727906,5.0,589.0,CPSC 589
System Characterization and Test,"Computer Science 587 Fundamentals of Computer Animation  Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture.  ",0.3450424331784248,5.0,587.0,CPSC 587
Space Systems and Electronics,"Computer Science 587 Fundamentals of Computer Animation  Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture.  ",0.33136144231557846,5.0,587.0,CPSC 587
Mechanical and Control Systems,"Computer Science 587 Fundamentals of Computer Animation  Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture.  ",0.31914383533000945,5.0,587.0,CPSC 587
Computer-Aided Design,"Computer Science 587 Fundamentals of Computer Animation  Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture.  ",0.24851816755533218,5.0,587.0,CPSC 587
Computer Science,"Computer Science 587 Fundamentals of Computer Animation  Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture.  ",0.11198294286727906,5.0,587.0,CPSC 587
Computer Systems Analysis,Computer Science 585 Games Programming  Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling.  ,0.2624615420103073,5.0,585.0,CPSC 585
Space Systems and Electronics,Computer Science 585 Games Programming  Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling.  ,0.2580007348895073,5.0,585.0,CPSC 585
Computer Programming,Computer Science 585 Games Programming  Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling.  ,0.2515472713470459,5.0,585.0,CPSC 585
Computer-Aided Design,Computer Science 585 Games Programming  Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling.  ,0.24851816755533218,5.0,585.0,CPSC 585
Computer Science,Computer Science 585 Games Programming  Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling.  ,0.11198294286727906,5.0,585.0,CPSC 585
Computer-Aided Design,"Computer Science  584 Human-Robot Interaction  Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods.  ",0.24851816755533218,5.0,584.0,CPSC 584
Process and Projects Documentation,"Computer Science  584 Human-Robot Interaction  Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods.  ",0.2435724263548851,5.0,584.0,CPSC 584
Process and Procedure Development,"Computer Science  584 Human-Robot Interaction  Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods.  ",0.22944476121664048,5.0,584.0,CPSC 584
Research and Development,"Computer Science  584 Human-Robot Interaction  Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods.  ",0.21743318506479262,5.0,584.0,CPSC 584
Computer Science,"Computer Science  584 Human-Robot Interaction  Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods.  ",0.11198294286727906,5.0,584.0,CPSC 584
Process and Procedure Development,"Computer Science 583 Introduction to Information Visualization  Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques.  ",0.25962295058965684,5.0,583.0,CPSC 583
Computer-Aided Design,"Computer Science 583 Introduction to Information Visualization  Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques.  ",0.24851816755533218,5.0,583.0,CPSC 583
Data Collection and Analysis,"Computer Science 583 Introduction to Information Visualization  Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques.  ",0.2475739727973938,5.0,583.0,CPSC 583
Research and Development,"Computer Science 583 Introduction to Information Visualization  Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques.  ",0.23545469708442687,5.0,583.0,CPSC 583
Computer Science,"Computer Science 583 Introduction to Information Visualization  Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques.  ",0.11198294286727906,5.0,583.0,CPSC 583
Computer Science,"Computer Science 581 Human-Computer Interaction II  IntermediateÂ and advanced topics and applications in human-computer interaction, to further one's skills for designing highly interactive human-computer interfaces.  ",0.2583698168516159,5.0,581.0,CPSC 581
Computer-Aided Design,"Computer Science 581 Human-Computer Interaction II  IntermediateÂ and advanced topics and applications in human-computer interaction, to further one's skills for designing highly interactive human-computer interfaces.  ",0.24851816755533218,5.0,581.0,CPSC 581
Computer-based Transducers,"Computer Science 581 Human-Computer Interaction II  IntermediateÂ and advanced topics and applications in human-computer interaction, to further one's skills for designing highly interactive human-computer interfaces.  ",0.23586125220060347,5.0,581.0,CPSC 581
Computer Systems Analysis,"Computer Science 577 Biometric Technologies  Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems.  ",0.2642867134571075,5.0,577.0,CPSC 577
Process and Procedure Development,"Computer Science 577 Biometric Technologies  Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems.  ",0.25900242662429807,5.0,577.0,CPSC 577
Computer-Aided Design,"Computer Science 577 Biometric Technologies  Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems.  ",0.24851816755533218,5.0,577.0,CPSC 577
System Characterization and Test,"Computer Science 577 Biometric Technologies  Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems.  ",0.24251345218420028,5.0,577.0,CPSC 577
Computer Science,"Computer Science 577 Biometric Technologies  Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems.  ",0.11198294286727906,5.0,577.0,CPSC 577
Computer-Aided Design,"Computer Science 575 iProgramming for Creative Minds  Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. ",0.24851816755533218,5.0,575.0,CPSC 575
New Product Development Environment,"Computer Science 575 iProgramming for Creative Minds  Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. ",0.22773236680030823,5.0,575.0,CPSC 575
Test Planning and Field Operations,"Computer Science 575 iProgramming for Creative Minds  Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. ",0.22238007048368452,5.0,575.0,CPSC 575
Research and Development,"Computer Science 575 iProgramming for Creative Minds  Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. ",0.17318375482559203,5.0,575.0,CPSC 575
Computer Science,"Computer Science 575 iProgramming for Creative Minds  Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. ",0.11198294286727906,5.0,575.0,CPSC 575
Computer-Aided Design,"Computer Science 572 Fundamentals of Social Network Analysis and Data Mining Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. ",0.24851816755533218,5.0,572.0,CPSC 572
Research and Development,"Computer Science 572 Fundamentals of Social Network Analysis and Data Mining Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. ",0.2349688333272934,5.0,572.0,CPSC 572
Computer Systems Analysis,"Computer Science 572 Fundamentals of Social Network Analysis and Data Mining Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. ",0.22938826543092727,5.0,572.0,CPSC 572
Data Collection and Analysis,"Computer Science 572 Fundamentals of Social Network Analysis and Data Mining Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. ",0.16695133998394013,5.0,572.0,CPSC 572
Computer Science,"Computer Science 572 Fundamentals of Social Network Analysis and Data Mining Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. ",0.11198294286727906,5.0,572.0,CPSC 572
Computer-Aided Design,"Computer Science 571 Design and Implementation of Database Systems  Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution.  ",0.24851816755533218,5.0,571.0,CPSC 571
Process and Procedure Development,"Computer Science 571 Design and Implementation of Database Systems  Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution.  ",0.24085505057573317,5.0,571.0,CPSC 571
Process and Projects Documentation,"Computer Science 571 Design and Implementation of Database Systems  Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution.  ",0.23167455691099167,5.0,571.0,CPSC 571
Computer Systems Analysis,"Computer Science 571 Design and Implementation of Database Systems  Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution.  ",0.22724171162843704,5.0,571.0,CPSC 571
Computer Science,"Computer Science 571 Design and Implementation of Database Systems  Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution.  ",0.11198294286727906,5.0,571.0,CPSC 571
Information Technology (IT),"Computer Science  568 Agent Communications  An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments.  ",0.2739748110294342,5.0,568.0,CPSC 568
Ethics/Values in Science and,"Computer Science  568 Agent Communications  An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments.  ",0.26944606593847276,5.0,568.0,CPSC 568
Test Planning and Field Operations,"Computer Science  568 Agent Communications  An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments.  ",0.2637179653763771,5.0,568.0,CPSC 568
Computer-Aided Design,"Computer Science  568 Agent Communications  An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments.  ",0.24851816755533218,5.0,568.0,CPSC 568
Computer Science,"Computer Science  568 Agent Communications  An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments.  ",0.11198294286727906,5.0,568.0,CPSC 568
Computer-Aided Design,"Computer Science 567 Foundations of Multi-Agent Systems  Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment.  ",0.24851816755533218,5.0,567.0,CPSC 567
Information-Based Systems,"Computer Science 567 Foundations of Multi-Agent Systems  Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment.  ",0.2306607078552246,5.0,567.0,CPSC 567
Process and Procedure Development,"Computer Science 567 Foundations of Multi-Agent Systems  Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment.  ",0.22939091143608092,5.0,567.0,CPSC 567
Test Planning and Field Operations,"Computer Science 567 Foundations of Multi-Agent Systems  Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment.  ",0.21647540271282195,5.0,567.0,CPSC 567
Computer Science,"Computer Science 567 Foundations of Multi-Agent Systems  Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment.  ",0.11198294286727906,5.0,567.0,CPSC 567
Process and Projects Documentation,"Computer Science 565 Emergent Computing  An insight into a new mindset for programming as an emergent and evolutionary process of ""breeding,"" rather than constructing. Programs can evolve to perform specific tasks in a bottom-up fashion rather than being manually coded. Topics will include: decentralized agent-based programming, massive parallelism and interaction, evolution, swarm intelligence.  ",0.274371926343441,5.0,565.0,CPSC 565
